SCHOOL NAME ,REGION,LOCATION,GENDER,BUSINESS COURSE,TECHINICAL COURSE,AGRICULTURE SCIENCE COURSE,GENERAL ARTS COURSE,VISUAL ARTS COURSE,HOME ECONOMICS COURSE,GENERAL SCIENCE COURSE,NUMBER OF COURSES OFFERED,STATUS
Ebenezer Senior High ,GREATER ACCRA,Dansoman,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"St. Mary's Senior High, Korle Gonno ",GREATER ACCRA,Korle Gonno,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Wesley Grammar Senior High,GREATER ACCRA,Dansoman,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Holy Trinity Senior High,GREATER ACCRA,High Street-Accra,Mixed,No,No,No,Yes,Yes,Yes,Yes,4,Day
"St. Thomas Aquinas Senior High, Cantoments",GREATER ACCRA,Cantonments,Boys,Yes,No,Yes,Yes,Yes,No,Yes,5,Day
Accra Senior High,GREATER ACCRA,Asylum Down,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
"Presby Senior High, Osu",GREATER ACCRA,Osu,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
O'Reilly Senior High,GREATER ACCRA,Okpoi Gomme,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Kinbu Senior High/Tech,GREATER ACCRA,Tudu - Accra,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
Achimota Senior High,GREATER ACCRA,Achimota,Mixed,No,No,Yes,Yes,Yes,Yes,Yes,5,Day
"Presby Boys Senior High, Legon",GREATER ACCRA,Legon,Boys,Yes,No,Yes,Yes,Yes,No,Yes,5,Day/Boarding
Accra Girls Senior High .,GREATER ACCRA,Mamobi,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Nungua Senior High,GREATER ACCRA,Nungua,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"Forces Senior High/Tech, Burma ",GREATER ACCRA,Burma Camp,Mixed,No,Yes,No,Yes,Yes,Yes,Yes,5,Day
"Presby Senior High, Teshie ",GREATER ACCRA,Teshie,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Labone Senior High,GREATER ACCRA,Labone,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Odorgonno Senior High,GREATER ACCRA,Awoshie,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Christian Methodist Senior High,GREATER ACCRA,Aplaku (Weija),Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Kaneshie Senior High/Tech.,GREATER ACCRA,Kaneshie,Mixed,No,Yes,No,Yes,Yes,Yes,Yes,5,Day
Accra Academy,GREATER ACCRA,Kaneshie,Boys,Yes,No,Yes,Yes,Yes,No,Yes,5,Day/Boarding
La Presby Senior High,GREATER ACCRA,La Emmaus,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
St. Margaret Mary Snr.High/Tech,GREATER ACCRA,Dansoman,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
Accra Wesley Girls High,GREATER ACCRA,Kaneshie,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Adjen Kotoku Senior High,GREATER ACCRA,Adjen Kotoku,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day
Tema Senior High ,GREATER ACCRA,Tema Comm 5,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Chemu Senior High/Tech,GREATER ACCRA,Tema Comm 4,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
Ashiaman Senior High,GREATER ACCRA,Ashiaman,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Tema Manhean Senior High/Tech,GREATER ACCRA,Tema New Town,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Tema Meth. Day Senior High,GREATER ACCRA,Tema Comm. II,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"Presby Senior High, Tema",GREATER ACCRA,Tema,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Our Lady of Mercy Senior High,GREATER ACCRA,Tema Comm 4,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Kpone Comm. Senior High,GREATER ACCRA,Katamanso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Ada Senior High,GREATER ACCRA,Ada-Foah,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Ada Senior High/Tech.,GREATER ACCRA,Sege,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Ghanata Senior High,GREATER ACCRA,Dodowa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Osudoku Senior High/Tech.,GREATER ACCRA,Asutsuare,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day
Ningo Senior High,GREATER ACCRA,Old Ningo,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
